         267209 function calls (225361 primitive calls) in 7.221 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 tokenize.py:146(TokenError)
        1    0.000    0.000    0.000    0.000 tokenize.py:148(StopTokenizing)
        1    0.000    0.000    0.000    0.000 tokenize.py:179(Untokenizer)
        1    0.000    0.000    0.009    0.009 tokenize.py:23(<module>)
       19    0.000    0.000    0.000    0.000 tokenize.py:45(group)
        1    0.000    0.000    0.000    0.000 tokenize.py:46(any)
        2    0.000    0.000    0.000    0.000 tokenize.py:47(maybe)
        1    0.001    0.001    0.087    0.087 tree.py:1(<module>)
        1    0.000    0.000    0.000    0.000 tree.py:15(Tree)
       72    0.000    0.000    0.000    0.000 tree.py:16(__init__)
        1    0.000    0.000    0.000    0.000 warnings.py:67(filterwarnings)
        1    0.000    0.000    0.000    0.000 weakref.py:47(__init__)
       13    0.000    0.000    0.000    0.000 {_sre.compile}
       31    0.000    0.000    0.000    0.000 {_sre.getlower}
        3    0.000    0.000    0.000    0.000 {abs}
       34    0.000    0.000    0.000    0.000 {all}
      747    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x10a1cff38}
        3    0.000    0.000    0.000    0.000 {dir}
     1965    0.001    0.000    0.001    0.000 {getattr}
        1    0.000    0.000    0.000    0.000 {globals}
      734    0.000    0.000    0.000    0.000 {hasattr}
    13495    0.001    0.000    0.001    0.000 {id}
     3694    0.001    0.000    0.001    0.000 {isinstance}
  774/754    0.000    0.000    0.001    0.000 {issubclass}
36169/35993    0.003    0.000    0.003    0.000 {len}
        8    0.000    0.000    0.008    0.001 {map}
       94    0.000    0.000    0.000    0.000 {max}
       34    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.000    0.000 {method '__enter__' of 'thread.lock' objects}
        1    0.000    0.000    0.000    0.000 {method '__exit__' of 'thread.lock' objects}
      724    0.002    0.000    0.002    0.000 {method '__reduce_ex__' of 'object' objects}
       18    0.000    0.000    0.000    0.000 {method '__subclasses__' of 'type' objects}
       19    0.000    0.000    0.000    0.000 {method '__subclasshook__' of 'object' objects}
        4    0.000    0.000    0.000    0.000 {method 'acquire' of 'thread.lock' objects}
      134    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
     8619    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
     6400    0.013    0.000    0.013    0.000 {method 'arc' of 'cairo.Context' objects}
        1    0.000    0.000    0.000    0.000 {method 'close' of 'file' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
       34    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
     6600    0.238    0.000    0.238    0.000 {method 'fill' of 'cairo.Context' objects}
      483    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       61    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
    11486    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'get' of 'dictproxy' objects}
       10    0.000    0.000    0.000    0.000 {method 'group' of '_sre.SRE_Match' objects}
        1    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
      244    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
       34    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
       26    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      724    0.000    0.000    0.000    0.000 {method 'iteritems' of 'dict' objects}
       33    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
     6300    0.002    0.000    0.002    0.000 {method 'line_to' of 'cairo.Context' objects}
        1    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
      120    0.000    0.000    0.000    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
     6300    0.002    0.000    0.002    0.000 {method 'move_to' of 'cairo.Context' objects}
      100    0.000    0.000    0.000    0.000 {method 'rectangle' of 'cairo.Context' objects}
        3    0.000    0.000    0.000    0.000 {method 'release' of 'thread.lock' objects}
       56    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       19    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
       14    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
     6400    0.001    0.000    0.001    0.000 {method 'restore' of 'cairo.Context' objects}
        1    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
     6400    0.002    0.000    0.002    0.000 {method 'save' of 'cairo.Context' objects}
     6400    0.002    0.000    0.002    0.000 {method 'scale' of 'cairo.Context' objects}
      100    0.001    0.000    0.001    0.000 {method 'set_source_rgba' of 'cairo.Context' objects}
        2    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        7    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       93    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        4    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
    12800    0.135    0.000    0.135    0.000 {method 'stroke' of 'cairo.Context' objects}
     6500    0.002    0.000    0.002    0.000 {method 'translate' of 'cairo.Context' objects}
       28    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
      756    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
      100    6.542    0.065    6.542    0.065 {method 'write_to_png' of 'cairo.Surface' objects}
      724    0.000    0.000    0.000    0.000 {min}
      356    0.000    0.000    0.000    0.000 {ord}
        1    0.000    0.000    0.000    0.000 {posix.sysconf}
      772    0.000    0.000    0.000    0.000 {range}
        7    0.000    0.000    0.000    0.000 {repr}
      110    0.000    0.000    0.000    0.000 {setattr}
        7    0.000    0.000    0.000    0.000 {sys._getframe}
        5    0.000    0.000    0.000    0.000 {thread.allocate_lock}
        8    0.000    0.000    0.000    0.000 {thread.get_ident}
        1    0.000    0.000    0.000    0.000 {time.time}


